2	ACT	0	0	0
14	ACT	0	1	0
50	RD	0	0	0
66	RD	0	1	1
106	RD	0	0	1
162	RD	0	0	2
1002	PRE	0	0
1004	ACT	1	0	1
1050	ACT	0	0	1
1052	RD	1	0	0
1098	RD	0	0	0
1108	RD	1	0	0
2002	PRE	0	0
2004	WR	0	1	1
2012	WR	1	0	0
2052	ACT	0	0	0
2062	WR	1	0	0
2100	WR	0	0	0
2148	WR	0	0	1
2196	WR	0	0	2
2284	PRE	0	0
2332	ACT	0	0	1
2380	WR	0	0	0
3002	ACT	3	0	1
3010	ACT	2	1	1
3018	ACT	3	1	1
3026	ACT	2	2	1
3034	ACT	3	2	1
3050	RD	3	0	18
3058	RD	2	1	18
3078	WR	2	2	18
3086	WR	3	1	18
3158	RD	3	2	18
